EventType,Attack,x1,y1,v1,x2,y2,v2,x3,y3,v3,x4,y4,v4,x5,y5,v5,x6,y6,v6,x7,y7,v7,x8,y8,v8,x9,y9,v9,x10,y10,v10
HUANG_PCN,false,351108,290173,0.0,351108,290173,0.0,351108,290173,0.0,351108,290173,0.0,351113,290182,72.0,351127,290206,144.0,351150,290244,216.0,351182,290297,288.0,351223,290365,360.0,351272,290448,432.0
HUANG_PCN,false,302005,264715,0.0,302005,264715,0.0,302005,264715,0.0,302005,264715,0.0,302005,264715,0.0,302005,264715,0.0,302005,264715,0.0,302005,264715,0.0,302005,264715,0.0,302005,264715,0.0
HUANG_PCN,false,62972,400494,0.0,62972,400494,0.0,62972,400494,0.0,62972,400494,0.0,62972,400494,0.0,62972,400494,0.0,62972,400494,0.0,62972,400494,0.0,62972,400494,0.0,62972,400494,0.0
HUANG_PCN,false,244722,308567,0.0,244722,308567,0.0,244722,308567,0.0,244722,308567,0.0,244722,308567,0.0,244722,308567,0.0,244722,308567,0.0,244722,308567,0.0,244722,308567,0.0,244722,308567,0.0
HUANG_PCN,false,157551,88991,0.0,157551,88991,0.0,157551,88991,0.0,157551,88991,0.0,157551,88991,0.0,157551,88991,0.0,157551,88991,0.0,157551,88991,0.0,157551,88991,0.0,157551,88991,0.0
HUANG_PCN,false,243810,276708,0.0,243810,276708,0.0,243810,276708,0.0,243810,276708,0.0,243810,276708,0.0,243810,276708,0.0,243810,276708,0.0,243810,276708,0.0,243810,276708,0.0,243810,276708,0.0
HUANG_PCN,false,555486,130756,0.0,555486,130756,0.0,555486,130756,0.0,555486,130756,0.0,555486,130756,0.0,555486,130756,0.0,555486,130756,0.0,555486,130756,0.0,555486,130756,0.0,555486,130756,0.0
HUANG_PCN,false,577773,173895,0.0,577773,173895,0.0,577773,173895,0.0,577773,173895,0.0,577773,173895,0.0,577773,173895,0.0,577773,173895,0.0,577773,173895,0.0,577773,173895,0.0,577773,173895,0.0
HUANG_PCN,false,410748,296815,0.0,410748,296815,0.0,410748,296815,0.0,410748,296815,0.0,410748,296815,0.0,410748,296815,0.0,410748,296815,0.0,410748,296815,0.0,410748,296815,0.0,410748,296815,0.0
HUANG_PCN,false,365596,214388,0.0,365596,214388,0.0,365596,214388,0.0,365596,214388,0.0,365596,214388,0.0,365596,214388,0.0,365596,214388,0.0,365596,214388,0.0,365596,214388,0.0,365596,214388,0.0
HUANG_PCN,false,166751,190561,0.0,166751,190561,0.0,166751,190561,0.0,166751,190561,0.0,166751,190561,0.0,166751,190561,0.0,166751,190561,0.0,166751,190561,0.0,166751,190561,0.0,166751,190561,0.0
